0,Direct Source,SE FIR AVE,Portland,97206,OR,301-340-6808,
1,Cybershop,SW 130TH TER,Portland,97224,OR,431-484-0493,
2,Fast Paced,SE 32ND AVE,Portland,97222,OR,257-206-5132,
3,Boutique de Paris,BRIDGE ST,Portland,97024,OR,411-070-3346,
4,Essential Groceries,SW 198TH AVE,Portland,97078,OR,460-559-0455,
5,Fulfilling Fruits,NW PARKSIDE LN,Portland,97229,OR,417-732-2770,
6,American Blues,SE LEE AVE,Portland,97267,OR,170-167-4246,
7,Bella Bella Boutique,SW DERBY ST,Portland,97005,OR,607-438-6804,
8,Baskets Of Berries,SW DIVISION ST,Portland,97007,OR,752-162-4180,
9,Adaline’s Wardrobe,SE 84TH AVE,Portland,97266,OR,500-607-4015,
10,The Saving Store,SW HOCKEN AVE,Portland,97005,OR,561-049-0980,
11,Bursting Baskets,SE 8TH AVE,Portland,97013,OR,164-618-4409,
12,Campfire Clothes,NE 12TH AVE,Portland,97212,OR,776-456-6397,
13,Cute High,SW BARCELONA WAY,Portland,97007,OR,272-191-3275,
14,Desertus Sweet Corner,NE HOYT TER,Portland,97230,OR,452-571-4424,
15,Comme Des,NE MARINE DR,Portland,97230,OR,467-254-4114,
16,Food Boutique,OREGON CITY BLVD,Portland,97068,OR,157-619-3161,
17,Addiction Like,E BURNSIDE ST,Portland,97233,OR,126-664-1806,
18,Filled With Fruit,NW SPRINGVILLE RD,Portland,97229,OR,575-146-5333,
19,Citrus Sensations,NW 11TH AVE,Portland,97209,OR,125-292-9588,
20,Christian Louboutin Boutique,SW LOMBARD AVE,Portland,97005,OR,146-158-5717,
21,Crownside Retails,SW BURKHALTER RD,Portland,97123,OR,660-402-9463,
22,Beef Quest,SE JENNINGS AVE,Portland,97267,OR,304-159-4405,
23,Blackbird Boutique,SE 86TH AVE,Portland,97266,OR,616-262-7697,
24,Crafty Commerce,SW 12TH AVE,Portland,97201,OR,412-638-3733,
25,Authentic Shoppe,SHIRLEY ST,Portland,97038,OR,533-185-0841,
26,Cooking Care,NE GLISAN ST,Portland,97230,OR,377-290-2497,
27,Fruity Flavors,NE FARGO ST,Portland,97212,OR,714-625-8894,
28,Fruits Of The World,S PINE ST,Portland,97013,OR,111-564-7917,
29,Garden Gallery,FLETCH ST,Portland,97116,OR,103-026-3543,
30,Classic Kitches,SW HIGHPOINT DR,Portland,97140,OR,406-587-3168,
31,Coffea,NW SALTZMAN RD,Portland,97229,OR,434-152-6838,
32,Blue Mall,SE 86TH AVE,Portland,97216,OR,515-355-2088,
33,American Eagle Shop,SE 45TH AVE,Portland,97206,OR,700-703-2995,
34,Fleur Boutique,SE MARINETTE AVE,Portland,97123,OR,416-174-1105,
35,Four Corners,SW BROADWAY,Portland,97205,OR,713-609-9185,
36,Creekside Fruits,SE BIANCA ST,Portland,97123,OR,416-289-3182,
37,Fast and Fresh,SE MARTINS ST,Portland,97202,OR,126-486-6417,
38,Feed Well,SW POINTER WAY,Portland,97225,OR,446-713-2026,
39,Carbonated Corner,E MAIN ST,Portland,97123,OR,721-729-3857,
40,Common Memory,SE DIVISION ST,Portland,97236,OR,776-660-1131,
41,Digital Daily Deals,SW 11TH AVE,Portland,97205,OR,637-520-3232,
42,Cultivated Blessings,SW CIMINO ST,Portland,97062,OR,712-220-3807,
43,Cheat on Wheels,SW GARRETT ST,Portland,97062,OR,134-243-0270,
44,Freshest Fruit,SW DICKINSON ST,Portland,97219,OR,557-221-7412,
45,Desertlicious,SW MASTERS LOOP,Portland,97078,OR,150-441-5496,
46,Cornermall,NE CLACKAMAS ST,Portland,97220,OR,475-371-8376,
47,Bitternut,NE 160TH AVE,Portland,97230,OR,133-440-4175,
48,Clickable Collection,SW SCHOLLS FERRY RD,Portland,97223,OR,121-008-4521,
49,Elegant Apparel,S MARILYNS AVE,Portland,97004,OR,620-675-8207,
50,Choose And Track,NE 44TH AVE,Portland,97213,OR,252-328-2302,
51,City Market,NE 63RD AVE,Portland,97213,OR,200-019-2325,
52,Budget Banquet,NE CAMPAIGN ST,Portland,97218,OR,223-063-1304,
53,Earth’s Pride,SE 44TH AVE,Portland,97206,OR,150-205-2741,
54,Business Bustle,SE UMATILLA ST,Portland,97202,OR,555-655-5154,
55,Dressy Girlz,SE 46TH AVE,Portland,97215,OR,153-445-3915,
56,Commence Commerce,N CAMPBELL AVE,Portland,97217,OR,413-369-0983,
57,Corner Collections,SE FALCO ST,Portland,97086,OR,300-001-1223,
58,Creamy Dream,SW 71ST TER,Portland,97223,OR,252-676-3247,
59,Berries Galore,SE 21ST AVE,Portland,97202,OR,315-732-4480,
60,Bookstore,SE MEGAN WAY,Portland,97015,OR,602-361-2603,
61,Fairy-Tale Fruits,EMILY ST,Portland,97116,OR,670-574-9145,
62,Big Mall,E BURNSIDE ST,Portland,97233,OR,445-647-5864,
63,Fiesty Fork,SW WILSON CT,Portland,97008,OR,237-679-7374,
64,Exotic Fruit Co.,SW CONOR CIR,Portland,97006,OR,620-136-4852,
65,Best Price,NE SKIDMORE ST,Portland,97211,OR,275-120-0541,
66,Creating Commerce,NE KILLINGSWORTH ST,Portland,97218,OR,401-092-1360,
67,Common Fruit,S KELMSLEY DR,Portland,97045,OR,645-576-7511,
68,Finest Stitch,SW DAVENPORT ST,Portland,97201,OR,301-528-5205,
69,Cheeky Chic,SW WHITEPINE LN,Portland,97225,OR,334-004-1321,
70,Chunky Glitter,SW CANYON DR,Portland,97225,OR,124-178-7360,
71,Cup o’ Joe,SE BARNES RD,Portland,97080,OR,513-521-5898,
72,By the Handful,JOSI CT,Portland,97045,OR,662-021-1793,
73,Family Market,NW PRALINE LN,Portland,97229,OR,146-499-1682,
74,Balsamic,N INTERSTATE AVE,Portland,97217,OR,763-287-8005,
75,Fun Knickknacks,SE SHERMAN ST,Portland,97214,OR,612-336-3604,
76,Apple Blossoms,SW HAZEL ST,Portland,97005,OR,553-287-8196,
77,African Paradise,SW BRISTLECONE WAY,Portland,97223,OR,235-166-3923,
78,Coveted Clicks,NE 50TH AVE,Portland,97213,OR,730-233-7483,
79,Friendly High,N GREELEY AVE,Portland,97217,OR,752-542-3226,
80,Bumble Bee Boutique,NW 173RD AVE,Portland,97006,OR,304-363-9289,
81,All Things More,SE 88TH AVE,Portland,97216,OR,755-232-8012,
82,Brandy Melville,SW MOUNTAIN HOME RD,Portland,97140,OR,656-171-1927,
83,Dash of Delish,SW BRENTWOOD ST,Portland,97225,OR,554-315-8772,
84,Cafe Linger,S WATER AVE,Portland,97239,OR,175-416-3000,
85,Etchen,SE RAMONA CT,Portland,97266,OR,203-058-7293,
86,Burton,GREENTREE RD,Portland,97034,OR,205-320-2830,
87,Fruity-Luscious,S SAWTELL RD,Portland,97038,OR,543-628-1789,
88,City Printing & Signs,SW MITCHELL ST,Portland,97239,OR,145-063-3553,
89,Burlington,SW 157TH AVE,Portland,97223,OR,422-025-5580,
90,Fanatical More,CHEROKEE CT,Portland,97068,OR,671-018-0911,
91,Eastern Store,SE GANNON DR,Portland,97015,OR,363-727-5102,
92,Creepy Divine,SW VALERIA VIEW DR,Portland,97225,OR,547-669-2895,
93,Dover Street,NE COUCH ST,Portland,97230,OR,176-008-2730,
94,Dressify,NW BARTLETT LOOP,Portland,97133,OR,450-221-9728,
95,Cool Runnings Sportswear,SE BALDRY ST,Portland,97236,OR,651-471-7067,
96,Chateaux,SW 167TH AVE,Portland,97007,OR,454-011-1651,
97,Crunchy Cook,NE 27TH AVE,Portland,97212,OR,274-274-8802,
98,Brick And Cyber,SW 24TH ST,Portland,97060,OR,234-025-6514,
99,Clover Clothing Co.,SE GLADSTONE ST,Portland,97206,OR,504-646-0922,
